Date,ADA,ARDR,BCH,BCN,BTC,BTG,BTS,DASH,DOGE,EOS,ETC,ETH,HC,ICX,KMD,LSK,LTC,MIOTA,NANO,NEO,QTUM,STRAT,TRX,WAVES,XEM,XLM,XMR,XRP,XVG,ZEC
2018-02-17,10433142784.0,527337344.0,26280075264.0,1033268608.0,172191072256.0,2374743040.0,717732672.0,5515087360.0,799809664.0,6746402816.0,3493654272.0,92263997440.0,570485440.0,1888860672.0,583019520.0,3786519552.0,12679666688.0,5842136576.0,1282464000.0,8516620800.0,2450944000.0,940978368.0,3429074176.0,788331584.0,5091170304.0,8390983680.0,4655823872.0,44370235392.0,1009220736.0,1582801792.0
2018-02-18,10846722048.0,532767616.0,26344192000.0,1100237568.0,187662860288.0,2415213312.0,737242432.0,5871023104.0,805583040.0,6860990464.0,3498389504.0,95077122048.0,567047360.0,2085547520.0,575094848.0,3925294336.0,12738810880.0,6121623552.0,1259075328.0,8866100224.0,2473005312.0,963498624.0,3611848960.0,784044224.0,5357679104.0,8847356928.0,5128418304.0,46997520384.0,1303035776.0,1623192064.0
2018-02-19,10031961088.0,508951264.0,25179734016.0,1004775744.0,178054987776.0,2214224640.0,669289408.0,5427639296.0,725931456.0,6355844608.0,3467860992.0,90047660032.0,530623456.0,1810200704.0,518253312.0,3510242560.0,11907919872.0,5521610240.0,1148325888.0,8270293504.0,2321057536.0,914001216.0,3258172416.0,753733376.0,4760948736.0,8318461952.0,4716457984.0,43813257216.0,1102438912.0,1487381888.0
2018-02-20,10135988224.0,528630784.0,26199828480.0,1088944384.0,189535830016.0,2376921088.0,699362944.0,5754974720.0,756518400.0,6586159616.0,3940007680.0,92206530560.0,563501760.0,1852597760.0,542122496.0,3068375808.0,12335100928.0,5800508416.0,1146851584.0,8966487040.0,2417679872.0,978922944.0,3388441088.0,810037824.0,4762193920.0,8362942976.0,4989713408.0,44648144896.0,1204575232.0,1572610432.0
2018-02-21,9738029056.0,504580736.0,23988080640.0,1015582400.0,191926796288.0,2224630016.0,645791424.0,5435712512.0,802827904.0,6315773440.0,3807357696.0,87394197504.0,504673792.0,1615597952.0,530378176.0,2658779392.0,12773185536.0,5270979584.0,927730944.0,8298401280.0,2281563648.0,895575168.0,3084186880.0,801955008.0,4339330560.0,7381916672.0,4761035776.0,42207633408.0,1022617984.0,1458040448.0
2018-02-22,9402480640.0,470130144.0,22153562112.0,929334592.0,179936477184.0,2075829120.0,569052224.0,5290716160.0,744077504.0,5965234688.0,3646735872.0,83025805312.0,473937408.0,1547277440.0,482938368.0,2283080704.0,11774828544.0,4865105920.0,1062763648.0,7840041472.0,2108058112.0,812796096.0,2923229952.0,725645568.0,4174394368.0,7274300416.0,5049377280.0,39487447040.0,946757888.0,1470665728.0
2018-02-23,8679301120.0,428021088.0,20673318912.0,865233664.0,167745568768.0,1999054336.0,585978944.0,4990196224.0,708509824.0,5523263488.0,3251616512.0,79358885888.0,443402848.0,1451453696.0,416329344.0,2184644864.0,10746064896.0,4480176128.0,1240682368.0,7370077184.0,1940131840.0,714505728.0,2647985408.0,657938560.0,3855812352.0,6724763136.0,4416885248.0,36441473024.0,864132800.0,1324438528.0
2018-02-24,8910299136.0,445939168.0,21511069696.0,886249152.0,173682327552.0,2086508544.0,592307136.0,4989213184.0,755429312.0,5900518400.0,3785313280.0,84266672128.0,451323232.0,1524150144.0,436615136.0,2297060864.0,11659208704.0,4867916288.0,1751007104.0,7892474368.0,2077343232.0,755788288.0,2817707264.0,675317184.0,3950507008.0,7067393536.0,4500972544.0,39003295744.0,897200448.0,1389204480.0
2018-02-25,8352457216.0,416334656.0,20235808768.0,829706176.0,165406720000.0,1984793984.0,563545664.0,4698525696.0,716438592.0,5646678016.0,3861098240.0,82119106560.0,425609952.0,1477026560.0,425652416.0,2127042048.0,11523484672.0,4916696576.0,1864403584.0,7689083904.0,1959445376.0,725990656.0,2683923456.0,655882816.0,3645358336.0,6547758080.0,4302822400.0,37217333248.0,838162880.0,1312579968.0
2018-02-26,8951879680.0,425312480.0,20004044800.0,831588288.0,163283419136.0,1940899712.0,560647232.0,4676021760.0,699210432.0,5472734720.0,3689633280.0,82705440768.0,401746400.0,1496622592.0,408140032.0,2039329664.0,12302045184.0,5049481728.0,1651069440.0,7729166848.0,1921130240.0,732740928.0,2623311104.0,648960576.0,3589747968.0,6624165376.0,4449614848.0,36893913088.0,855437376.0,1315557632.0
2018-02-27,8792712192.0,429641248.0,21329252352.0,894053696.0,175536128000.0,2019350144.0,575735232.0,4922166784.0,721302336.0,5670736896.0,3628858368.0,85177769984.0,406259008.0,1554799232.0,417106752.0,2115904128.0,12281581568.0,5217568768.0,1844468608.0,8764486656.0,2142105216.0,749889728.0,2747729920.0,670969536.0,3627849984.0,6733955072.0,4652026368.0,37503721472.0,894522688.0,1363481344.0
2018-02-28,8672232448.0,420635712.0,21124108288.0,928828992.0,180509966336.0,2028149888.0,574754752.0,4864747008.0,710878976.0,5940665344.0,3606200576.0,85936373760.0,417600832.0,1553019904.0,402895392.0,2055329152.0,12039226368.0,5478339584.0,2044925184.0,9254661120.0,2065064064.0,770470208.0,2809828608.0,661896576.0,3606487040.0,6656078336.0,4755313664.0,36932734976.0,880479936.0,1378075904.0
